old_offer_id,new_article,product_group,garment,hoodie_fit,hoodie_fabric,size,ozon_sku,design_key
"var3-Emb-Black-L","D003-TSH-EMB-BLK-V01-L","Футболка Наруто с вышивкой Akatsuki Swoosh","tshirt","","","L","3134088932","var3|embroidery|tshirt|black"
"var3-Emb-Black-M","D003-TSH-EMB-BLK-V01-M","Футболка Наруто с вышивкой Akatsuki Swoosh","tshirt","","","M","3134088831","var3|embroidery|tshirt|black"
"var3-Emb-Black-S","D003-TSH-EMB-BLK-V01-S","Футболка Наруто с вышивкой Akatsuki Swoosh","tshirt","","","S","3134088395","var3|embroidery|tshirt|black"
"var3-Emb-Black-XL","D003-TSH-EMB-BLK-V01-XL","Футболка Наруто с вышивкой Akatsuki Swoosh","tshirt","","","XL","3134088736","var3|embroidery|tshirt|black"
"var4","D004-TSH-EMB-WHT-V01-ONE","Футболка Наруто с вышивкой Akatsuki","tshirt","","","ONE","3216093577","var4|embroidery|tshirt|other"
"var4-Emb-White-L","D004-TSH-EMB-WHT-V01-L","Футболка Наруто с вышивкой Akatsuki Белая","tshirt","","","L","3134089535","var4|embroidery|tshirt|white"
"var4-Emb-White-M","D004-TSH-EMB-WHT-V01-M","Футболка Наруто с вышивкой Akatsuki Белая","tshirt","","","M","3134088406","var4|embroidery|tshirt|white"
"var4-Emb-White-XL","D004-TSH-EMB-WHT-V01-XL","Футболка Наруто с вышивкой Akatsuki Белая","tshirt","","","XL","3134088718","var4|embroidery|tshirt|white"
"var5-Black-S","D005-TSH-PRT-BLK-V01-S","Футболка Наруто с принтом Akatsuki черная","tshirt","","","S","3216098679","var5|print|tshirt|black"
"var5-Print-Black-L","D005-TSH-PRT-BLK-V01-L","Футболка Наруто с принтом Akatsuki черная","tshirt","","","L","3134089447","var5|print|tshirt|black"
"var5-Print-Black-M","D005-TSH-PRT-BLK-V01-M","Футболка Наруто с принтом Akatsuki черная","tshirt","","","M","3134088716","var5|print|tshirt|black"
"var5-Print-Black-XL","D005-TSH-PRT-BLK-V01-XL","Футболка Наруто с принтом Akatsuki черная","tshirt","","","XL","3236635677","var5|print|tshirt|black"
"var5-Print-White-L","D005-TSH-PRT-WHT-V01-L","Футболка Наруто с принтом Akatsuki Белая","tshirt","","","L","3134088403","var5|print|tshirt|white"
"var5-Print-White-M","D005-TSH-PRT-WHT-V01-M","Футболка Наруто с принтом Akatsuki Белая","tshirt","","","M","3134088683","var5|print|tshirt|white"
"var5-Print-White-S","D005-TSH-PRT-WHT-V01-S","Футболка Наруто с принтом Akatsuki Белая","tshirt","","","S","3134088361","var5|print|tshirt|white"
"var5-Print-White-XL","D005-TSH-PRT-WHT-V01-XL","Футболка Наруто с принтом Akatsuki Белая","tshirt","","","XL","3134088729","var5|print|tshirt|white"
"var7","D007-TSH-PRT-WHT-V01-ONE","Футболка Наруто с принтом Akatsuki и текстом","tshirt","","","ONE","3134088457","var7|print|tshirt|other"
"var8-Hoodie-Emb-Black-L","D008-HDY-EMB-BLK-REG-FLC-V01-L","Худи с вышивкой Gravity Черная","hoodie","REG","FLC","L","3134088672","var8|embroidery|hoodie|black"
"var8-Hoodie-Emb-Black-M","D008-HDY-EMB-BLK-REG-FLC-V01-M","Худи с вышивкой Gravity Черная","hoodie","REG","FLC","M","3134088454","var8|embroidery|hoodie|black"
"var8-Hoodie-Emb-Black-S","D008-HDY-EMB-BLK-REG-FLC-V01-S","Худи с вышивкой Gravity Черная","hoodie","REG","FLC","S","3134088474","var8|embroidery|hoodie|black"
"var8-Hoodie-Emb-Real-White-L","D008-HDY-EMB-WHT-REG-NF-V01-L","Худи с вышивкой Gravity","hoodie","REG","NF","L","3176809894","var8|embroidery|hoodie|white"
"var8-Hoodie-Emb-Real-White-M","D008-HDY-EMB-WHT-REG-NF-V01-M","Худи с вышивкой Gravity","hoodie","REG","NF","M","3176809807","var8|embroidery|hoodie|white"
"var8-Hoodie-Emb-Real-White-S","D008-HDY-EMB-WHT-REG-NF-V01-S","Худи с вышивкой Gravity","hoodie","REG","NF","S","3169503419","var8|embroidery|hoodie|white"
"var8-Hoodie-Emb-Real-White-XL","D008-HDY-EMB-WHT-REG-NF-V01-XL","Худи с вышивкой Gravity","hoodie","REG","NF","XL","3176809914","var8|embroidery|hoodie|white"
"var8-Hoodie-Emb-Real-White-XXL","D008-HDY-EMB-WHT-REG-NF-V01-2XL","Худи с вышивкой Gravity","hoodie","REG","NF","2XL","3176809802","var8|embroidery|hoodie|white"
